,Artist,Song Title,Year
2668,Ian Matthews,Shake It,1979
2669,Kiss,I Was Made For Lovin' You,1979
2670,Gino Vannelli,I Just Wanna Stop,1979
2671,G.Q.,Disco Nights,1979
2672,Linda Ronstadt,Ooh Baby Baby,1979
2673,"Earth, Wind and Fire",September,1979
2674,Al Stewart,Time Passages,1979
2675,Herb Alpert,Rise,1979
2676,Electric Light Orchestra,Don't Bring Me Down,1979
2677,Eric Clapton,Promises,1979
2678,Roger Voudouris,Get Used To It,1979
2679,Ambrosia,How Much I Feel,1979
2680,Eddie Rabbitt,Suspicions,1979
2681,Rex Smith,You Take My Breath Away,1979
2682,Alice Cooper,How You Gonna See Me Now,1979
2683,Foreigner,Double Vision,1979
2684,Babys,Every Time I Think Of You,1979
2685,Instant Funk,I Got My Mind Made Up,1979
2686,Michael Jackson,Don't Stop 'Til You Get Enough,1979
2687,Robert Palmer,Bad Case Of Lovin' You,1979
2688,Barry Manilow,Somewhere In The Night,1979
2689,Bob Seger and The Silver Bullet Band,We've Got Tonight,1979
2690,Van Halen,Dance The Night Away,1979
2691,Nigel Olsson,Dancing Shoes,1979
2692,Diana Ross,The Boss,1979
2693,Commodores,Sail On,1979
2694,G.Q.,I Do Love You,1979
2695,Firefall,Strange Way,1979
2696,Blondie,Call Me,1980
2697,Pink Floyd,Another Brick In The Wall,1980
2698,Olivia Newton-John,Magic,1980
2699,Michael Jackson,Rock With You,1980
2700,Captain and Tennille,Do That To Me One More Time,1980
2701,Queen,Crazy Little Thing Called Love,1980
2702,Paul McCartney,Coming Up,1980
2703,"Lipps, Inc.",Funkytown,1980
2704,Billy Joel,It's Still Rock And Roll To Me,1980
2705,Bette Midler,The Rose,1980
2706,Rupert Holmes,Escape (The Pina Colada Song),1980
2707,Gary Numan,Cars,1980
2708,Smokey Robinson,Cruisin',1980
2709,Spinners,Working My Way Back To You-Forgive Me Girl,1980
2710,Air Supply,Lost In Love,1980
2711,Elton John,Little Jeannie,1980
2712,Christopher Cross,Ride Like The Wind,1980
2713,Diana Ross,Upside Down,1980
2714,K.C. and The Sunshine Band,Please Don't Go,1980
2715,Styx,Babe,1980
2716,Billy Preston and Syreeta,With You I'm Born Again,1980
2717,Manhattans,Shining Star,1980
2718,Commodores,Still,1980
2719,Teri De Sario With K.C.,"Yes, I'm Ready",1980
2720,Dr. Hook,Sexy Eyes,1980
2721,Robbie Dupree,Steal Away,1980
2722,Ambrosia,Biggest Part Of Me,1980
2723,Kenny Loggins,This Is It,1980
2724,Spinners,Cupid/I've Loved You For A Long Time,1980
2725,Jermaine Jackson,Let's Get Serious,1980
2726,Kenny Rogers and Kim Carnes,Don't Fall In Love With A Dreamer,1980
2727,Christopher Cross,Sailing,1980
2728,Dan Fogelberg,Longer,1980
2729,Kenny Rogers,Coward Of The County,1980
2730,Kool and The Gang,Ladies Night,1980
2731,Kool and The Gang,Too Hot,1980
2732,S.O.S. Band,Take Your Time,1980
2733,Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough),1980
2734,Kim Carnes,More Love,1980
2735,M,Pop Muzik,1980
2736,Pretenders,Brass In Pocket,1980
2737,"Ray, Goodman and Brown",Special Lady,1980
2738,Stevie Wonder,Send One Your Love,1980
2739,Shalamar,The Second Time Around,1980
2740,Cliff Richard,We Don't Talk Anymore,1980
2741,Brothers Johnson,Stomp,1980
2742,Eagles,Heartache Tonight,1980
2743,Rocky Burnette,Tired Of Toein' The Line,1980
2744,Dr. Hook,Better Love Next Time,1980
2745,Rupert Holmes,Him,1980
2746,Bob Seger and The Silver Bullet Band,Against The Wind,1980
2747,Donna Summer,On The Radio,1980
2748,Rolling Stones,Emotional Rescue,1980
2749,Herb Alpert,Rise,1980
2750,Air Supply,All Out Of Love,1980
2751,Little River Band,Cool Change,1980
2752,J.D. Souther,You're Only Lonely,1980
2753,Andy Gibb,Desire,1980
2754,Pete Townshend,Let My Love Open The Door,1980
2755,Steve Forbert,Romeo's Tune,1980
2756,Anne Murray,Daydream Believer,1980
2757,Eagles,I Can't Tell You Why,1980
2758,Isaac Hayes,Don't Let Go,1980
2759,Tom Petty and The Heartbreakers,Don't Do Me Like That,1980
2760,Michael Jackson,She's Out Of My Life,1980
2761,Irene Cara,Fame,1980
2762,Bob Seger and The Silver Bullet Band,Fire Lake,1980
2763,Linda Ronstadt,How Do I Make You,1980
2764,Benny Mardones,Into The Night,1980
2765,Pure Prairie League,Let Me Love You Tonight,1980
2766,Genesis,Misunderstanding,1980
2767,Dirt Band,An American Dream,1980
2768,Carole King,One Fine Day,1980
2769,Donna Summer,Dim All The Lights,1980
2770,Billy Joel,You May Be Right,1980
2771,Neil Sedaka and Dara Sedaka,Should've Never Let You Go,1980
2772,Charlie Dore,Pilot Of The Airwaves,1980
2773,Linda Ronstadt,Hurt So Bad,1980
2774,Michael Jackson,Off The Wall,1980
2775,Peaches and Herb,I Pledge My Love,1980
2776,Eagles,The Long Run,1980
2777,Mickey Gilley,Stand By Me,1980
2778,Pat Benatar,Heartbreaker,1980
2779,Dionne Warwick,Deja Vu,1980
2780,Eddie Rabbitt,Drivin' My Life Away,1980
2781,Supertramp,Take The Long Way Home,1980
2782,Fleetwood Mac,Sara,1980
2783,Daryl Hall and John Oates,Wait For Me,1980
2784,Boz Scaggs,Jo Jo,1980
2785,Neil Diamond,September Morn,1980
2786,George Benson,Give Me The Night,1980
2787,Anne Murray,Broken Hearted Me,1980
2788,Kenny Rogers,You Decorated My Life,1980
2789,Fleetwood Mac,Tusk,1980
2790,Prince,I Wanna Be Your Lover,1980
2791,Charlie Daniels Band,In America,1980
2792,Boz Scaggs,Breakdown Dead Ahead,1980
2793,Barry Manilow,Ships,1980
2794,Joe Walsh,All Night Long,1980
2795,Tom Petty and The Heartbreakers,Refugee,1980
2796,Kim Carnes,Bette Davis Eyes,1981
2797,Diana Ross and Lionel Richie,Endless Love,1981
2798,Kenny Rogers,Lady,1981
2799,John Lennon,(Just Like) Starting Over,1981
2800,Rick Springfield,Jessie's Girl,1981
2801,Kool and The Gang,Celebration,1981
2802,Daryl Hall and John Oates,Kiss On My List,1981
2803,Eddie Rabbitt,I Love A Rainy Night,1981
2804,Dolly Parton,9 To 5,1981
2805,REO Speedwagon,Keep On Loving You,1981
2806,Joey Scarbury,"Theme From ""Greatest American Hero"" (Believe It Or Not)",1981
2807,Sheena Easton,Morning Train (Nine To Five),1981
2808,Smokey Robinson,Being With You,1981
2809,Juice Newton,Queen Of Hearts,1981
2810,Blondie,Rapture,1981
2811,Ray Parker Jr. and Raydio,A Woman Needs Love,1981
2812,Blondie,The Tide Is High,1981
2813,Grover Washington Jr.,Just The Two Of Us,1981
2814,Pointer Sisters,Slow Hand,1981
2815,Climax Blues Band,I Love You,1981
2816,John Lennon,Woman,1981
2817,A Taste Of Honey,Sukiyaki,1981
2818,ABBA,The Winner Takes It All,1981
2819,Stars On 45,Medley,1981
2820,Juice Newton,Angel Of The Morning,1981
2821,Neil Diamond,Love On The Rocks,1981
2822,Air Supply,Every Woman In The World,1981
2823,Air Supply,The One That You Love,1981
2824,Barbra Streisand and Barry Gibb,Guilty,1981
2825,Styx,The Best Of Times,1981
2826,Oak Ridge Boys,Elvira,1981
2827,REO Speedwagon,Take It On The Run,1981
2828,Ronnie Milsap,No Gettin' Over Me,1981
2829,Gino Vannelli,Living Inside Myself,1981
2830,Barbra Streisand,Woman In Love,1981
2831,Manhattan Transfer,Boy From New York City,1981
2832,Foreigner,Urgent,1981
2833,Rod Stewart,Passion,1981
2834,Commodores,Lady (You Bring Me Up),1981
2835,Don Mclean,Crying,1981
2836,Marty Balin,Hearts,1981
2837,Diana Ross,It's My Turn,1981
2838,Daryl Hall and John Oates,You Make My Dreams,1981
2839,Kenny Rogers,I Don't Need You,1981
2840,Champaign,How 'Bout Us,1981
2841,Pat Benatar,Hit Me With Your Best Shot,1981
2842,Greg Kihn Band,The Breakup Song,1981
2843,Alan Parsons Project,Time,1981
2844,Bruce Springsteen,Hungry Heart,1981
2845,Franke and The Knockouts,Sweetheart,1981
2846,Terri Gibbs,Someone's Knockin',1981
2847,Leo Sayer,More Than I Can Say,1981
2848,Tierra,Together,1981
2849,Styx,Too Much Time On My Hands,1981
2850,Dottie West,What Are We Doin' In Love,1981
2851,Journey,Who's Crying Now,1981
2852,Police,"De Do Do Do, De Da Da",1981
2853,Gary U.S. Bonds,This Little Girl,1981
2854,Stevie Nicks With Tom Petty and The Heartbreakers,Stop Draggin' My Heart Around,1981
2855,Delbert McClinton,Giving It Up For Your Love,1981
2856,Cliff Richard,A Little In Love,1981
2857,Neil Diamond,America,1981
2858,John Cougar,Ain't Even Done With The Night,1981
2859,Christopher Cross,Arthur's Theme,1981
2860,Queen,Another One Bites The Dust,1981
2861,Alan Parsons Project,Games People Play,1981
2862,Eric Clapton,I Can't Stand It,1981
2863,Steve Winwood,While You See A Chance,1981
2864,Stevie Wonder,Master Blaster,1981
2865,Neil Diamond,Hello Again,1981
2866,Police,Don't Stand So Close To Me,1981
2867,Steely Dan,Hey Nineteen,1981
2868,Stevie Wonder,I Ain't Gonna Stand For It,1981
2869,George Harrison,All Those Years Ago,1981
2870,Eddie Rabbitt,Step By Step,1981
2871,Billy Squier,The Stroke,1981
2872,Alabama,Feels So Right,1981
2873,Stanley Clarke and George Duke,Sweet Baby,1981
2874,Dan Fogelberg,Same Old Lang Syne,1981
2875,Pablo Cruise,Cool Love,1981
2876,ELO,Hold On Tight,1981
2877,John Schneider,It's Now Or Never,1981
2878,Pat Benatar,Treat Me Right,1981
2879,Santana,Winning,1981
2880,Barbra Streisand and Barry Gibb,What Kind Of Fool,1981
2881,John Lennon,Watching The Wheels,1981
2882,Heart,Tell It Like It Is,1981
2883,Ronnie Milsap,Smoky Mountain Rain,1981
2884,Barry Manilow,I Made It Through The Rain,1981
2885,Daryl Hall and John Oates,You've Lost That Lovin' Feelin',1981
2886,Olivia Newton-John and Cliff Richard,Suddenly,1981
2887,Sheena Easton,For Your Eyes Only,1981
2888,Beach Boys,The Beach Boys Medley,1981
2889,Devo,Whip It,1981
2890,Sheena Easton,Modern Girl,1981
2891,Gary Wright,Really Wanna Know You,1981
2892,Rosanne Cash,Seven Year Ache,1981
2893,Diana Ross,I'm Coming Out,1981
2894,Boz Scaggs,Miss Sun,1981
2895,Andy Gibb,Time Is Time,1981
2896,Olivia Newton-John,Physical,1982
2897,Survivor,Eye Of The Tiger,1982
2898,Joan Jett and The Blackhearts,I Love Rock N' Roll,1982
2899,Paul McCartney and Stevie Wonder,Ebony And Ivory,1982
2900,J. Geils Band,Centerfold,1982
2901,Human League,Don't You Want Me,1982
2902,John Cougar,Jack And Diane,1982
2903,John Cougar,Hurts So Good,1982
2904,Steve Miller Band,Abracadabra,1982
2905,Chicago,Hard To Say I'm Sorry,1982
2906,Soft Cell,Tainted Love,1982
2907,Vangelis,Chariots Of Fire,1982
2908,Quarterflash,Harden My Heart,1982
2909,Toto,Rosanna,1982
2910,Daryl Hall and John Oates,I Can't Go For That,1982
2911,Tommy Tutone,867-5309 (Jenny),1982
2912,Bertie Higgins,Key Largo,1982
2913,Melissa Manchester,You Should Hear How She Talks About You,1982
2914,Foreigner,Waiting For A Girl Like You,1982
2915,Rick Springfield,Don't Talk To Strangers,1982
2916,Juice Newton,The Sweetest Thing,1982
2917,Willie Nelson,Always On My Mind,1982
2918,Cars,Shake It Up,1982
2919,Dazz Band,Let It Whip,1982
2920,Go-Go's,We Got The Beat,1982
2921,Ray Parker Jr.,The Other Woman,1982
2922,George Benson,Turn Your Love Around,1982
2923,Air Supply,Sweet Dreams,1982
2924,Motels,Only The Lonely,1982
2925,Men At Work,Who Can It Be Now?,1982
2926,Fleetwood Mac,Hold Me,1982
2927,Alan Parsons Project,Eye In The Sky,1982
2928,"Earth, Wind and Fire",Let's Groove,1982
2929,Journey,Open Arms,1982
2930,Dan Fogelberg,Leader Of The Band,1982
2931,Stevie Nicks and Don Henley,Leather And Lace,1982
2932,Air Supply,Even The Nights Are Better,1982
2933,Charlene,I've Never Been To Me,1982
2934,Paul Davis,'65 Love Affair,1982
2935,Asia,Heat Of The Moment,1982
2936,Little River Band,Take It Easy On Me,1982
2937,Buckner and Garcia,Pac-Man Fever,1982
2938,Stevie Wonder,That Girl,1982
2939,Daryl Hall and John Oates,Private Eyes,1982
2940,Lindsey Buckingham,Trouble,1982
2941,Roberta Flack,Making Love,1982
2942,Juice Newton,Love's Been A Little Bit Hard On Me,1982
2943,Rod Stewart,Young Turks,1982
2944,J. Geils Band,Freeze-Frame,1982
2945,REO Speedwagon,Keep The Fire Burnin',1982
2946,Huey Lewis and The News,Do You Believe In Love,1982
2947,Paul Davis,Cool Night,1982
2948,38 Special,Caught Up In You,1982
2949,Diana Ross,Why Do Fools Fall In Love?,1982
2950,Alabama,Love In The First Degree,1982
2951,Royal Philharmonic Orchestra,Hooked On Classics,1982
2952,"Crosby, Stills and Nash",Wasted On The Way,1982
2953,Eddie Money,Think I'm In Love,1982
2954,Donna Summer,Love Is In Control,1982
2955,Karla Bonoff,Personally,1982
2956,Quincy Jones,Owe Hundred Ways,1982
2957,Elton John,Blue Eyes,1982
2958,Go-Go's,Our Lips Are Sealed,1982
2959,Sheena Easton,You Could Have Been Wih Me,1982
2960,America,You Can Do Magic,1982
2961,Daryl Hall and John Oates,Did It In A Minute,1982
2962,A Flock Of Seagulls,I Ran,1982
2963,Jackson Browne,Somebody's Baby,1982
2964,Commodores,Oh No,1982
2965,Paul McCartney,Take It Away,1982
2966,Deneice Williams,It's Gonna Take A Miracle,1982
2967,Kenny Rogers,Love Will Turn You Around,1982
2968,Journey,Don't Stop Believin',1982
2969,Barbra Streisand,Comin' In And Out Of Your Life,1982
2970,Laura Branigan,Gloria,1982
2971,Elton John,Empty Garden,1982
2972,Neil Diamond,Yesterday's Songs,1982
2973,Joan Jett and The Blackhearts,Crimson And Clover,1982
2974,Police,Every Little Thing She Does Is Magic,1982
2975,Air Supply,Here I Am,1982
2976,Michael McDonald,I Keep Forgettin',1982
2977,Kool and The Gang,Get Down On It,1982
2978,Ronnie Milsap,Any Day Now,1982
2979,Olivia Newton-John,Make A Move On Me,1982
2980,Kool and The Gang,Take My Heart,1982
2981,Diana Ross,Mirror Mirror,1982
2982,Go-Go's,Vacation,1982
2983,Van Halen,(Oh) Pretty Woman,1982
2984,Pointer Sisters,Should I Do It,1982
2985,Billy Idol,Hot In The City,1982
2986,Kim Wilde,Kids In America,1982
2987,Little River Band,Man On Your Mind,1982
2988,Michael Murphy,What's Forever For,1982
2989,Rolling Stones,Waiting On A Friend,1982
2990,Stevie Wonder,Do I Do,1982
2991,Loverboy,Working For The Weekend,1982
2992,Greg Guidry,Goin' Down,1982
2993,Christopher Cross,Arthur's Theme,1982
2994,Kenny Rogers,Through The Years,1982
2995,Stevie Nicks,Edge Of Seventeen,1982
2996,Police,Every Breath You Take,1983
2997,Michael Jackson,Billie Jean,1983
2998,Irene Cara,Flashdance... What A Feeling,1983
2999,Men At Work,Down Under,1983
3000,Michael Jackson,Beat It,1983
3001,Bonnie Tyler,Total Eclipse Of The Heart,1983
3002,Daryl Hall and John Oates,Maneater,1983
3003,Patti Austin and James Ingram,Baby Come To Me,1983
3004,Michael Sembello,Maniac,1983
3005,Eurythmics,Sweet Dreams (Are Made Of This),1983
3006,Culture Club,Do You Really Want To Hurt Me,1983
3007,Eddie Rabbitt and Crystal Gayle,You And I,1983
3008,Dexy's Midnight Runners,Come On Eileen,1983
3009,Bob Seger and The Silver Bullet Band,Shame On The Moon,1983
3010,Donna Summer,She Works Hard For The Money,1983
3011,Sergio Mendes,Never Gonna Let You Go,1983
3012,Duran Duran,Hungry Like The Wolf,1983
3013,David Bowie,Let's Dance,1983
3014,Golden Earring,Twilight Zone,1983
3015,Frida,I Know There's Something Going On,1983
3016,Greg Kihn Band,Jeopardy,1983
3017,Eddy Grant,Electric Avenue,1983
3018,Thomas Dolby,She Blinded Me With Science,1983
3019,Toto,Africa,1983
3020,Prince,Little Red Corvette,1983
3021,Pretenders,Back On The Chain Gang,1983
3022,Joe Cocker and Jennifer Warnes,Up Where We Belong,1983
3023,Styx,Mr. Roboto,1983
3024,Lionel Richie,You Are,1983
3025,After The Fire,Der Kommissar,1983
3026,Taco,Puttin' On The Ritz,1983
3027,Marvin Gaye,Sexual Healing,1983
3028,Human League,(Keep Feeling) Fascination,1983
3029,Culture Club,Time (Clock Of The Heart),1983
3030,Men Without Hats,The Safety Dance,1983
3031,Toni Basil,Mickey,1983
3032,Phil Collins,You Can't Hurry Love,1983
3033,Journey,Separate Ways,1983
3034,Daryl Hall and John Oates,One On One,1983
3035,Kenny Rogers and Sheena Easton,We've Got Tonight,1983
3036,Prince,1999,1983
3037,Stray Cats,Stray Cat Strut,1983
3038,Billy Joel,Allentown,1983
3039,Stevie Nicks,Stand Back,1983
3040,Billy Joel,Tell Her About It,1983
3041,Naked Eyes,Always Somethmg There To Remind Me,1983
3042,Lionel Richie,Truly,1983
3043,Don Henley,Dirty Laundry,1983
3044,Michael Jackson and Paul McCartney,The Girl Is Mine,1983
3045,Kajagoogoo,Too Shy,1983
3046,Adam Ant,Goody Two Shoes,1983
3047,Clash,Rock The Casbah,1983
3048,Madness,Our House,1983
3049,Men At Work,Overkill,1983
3050,Duran Duran,Is There Something I Should Know,1983
3051,Laura Branigan,Gloria,1983
3052,Rick Springfield,Affair Of The Heart,1983
3053,Tubes,She's A Beauty,1983
3054,Laura Branigan,Solitaire,1983
3055,Styx,Don't Let It End,1983
3056,Laura Branigan,How Am I Supposed To Live Without You,1983
3057,David Bowie,China Girl,1983
3058,Kinks,Come Dancing,1983
3059,Naked Eyes,"Promises, Promises",1983
3060,Little River Band,The Other Guy,1983
3061,Air Supply,Making Love Out Of Nothing At All,1983
3062,Daryl Hall and John Oates,Family Man,1983
3063,Michael Jackson,Wanna Be Startin' Somethin',1983
3064,Toto,I Won't Hold You Back,1983
3065,Christopher Cross,All Right,1983
3066,Bryan Adams,Straight From The Heart,1983
3067,Kenny Loggins,Heart To Heart,1983
3068,Lionel Richie,My Love,1983
3069,Elton John,I'm Still Standing,1983
3070,Loverboy,Hot Girls In Love,1983
3071,Men At Work,It's A Mistake,1983
3072,Culture Club,I'll Tumble 4 Ya,1983
3073,Debarge,All This Love,1983
3074,Sammy Hagar,Your Love Is Driving Me Crazy,1983
3075,Dionne Warwick,Heartbreaker,1983
3076,Journey,Faithfully,1983
3077,Joe Jackson,Steppin' Out,1983
3078,Quarterflash,Take Me To Heart,1983
3079,Stray Cats,(She's) Sexy + 17,1983
3080,Champaign,Try Again,1983
3081,Shalamar,Dead Giveaway,1983
3082,Jackson Browne,Lawyers In Love,1983
3083,Moving Pictures,What About Me,1983
3084,Michael Jackson,Human Nature,1983
3085,Def Leppard,Photograph,1983
3086,Musical Youth,Pass The Dutchie,1983
3087,Spandau Ballet,True,1983
3088,Frank Stallone,Far From Over,1983
3089,Eric Clapton,I've Got A Rock 'N' Roll Heart,1983
3090,Stephen Bishop,It Might Be You,1983
3091,Peabo Bryson and Roberta Flack,Tonight I Celebrate My Love,1983
3092,Tom Petty and The Heartbreakers,You Got Lucky,1983
3093,Asia,Don't Cry,1983
3094,Joe Jackson,Breaking Us In Two,1983
3095,"Earth, Wind and Fire",Fall In Love With Me,1983
3096,Prince,When Doves Cry,1984
3097,Tina Turner,What's Love Got To Do With It,1984
3098,Paul McCartney and Michael Jackson,Say Say Say,1984
3099,Kenny Loggins,Footloose,1984
3100,Phil Collins,Against All Odds (Take A Look At Me Now),1984
3101,Van Halen,Jump,1984
3102,Lionel Richie,Hello,1984
3103,Yes,Owner Of A Lonely Heart,1984
3104,Ray Parker Jr.,Ghostbusters,1984
3105,Culture Club,Karma Chameleon,1984
3106,John Waite,Missing You,1984
3107,Lionel Richie,All Night Long (All Night),1984
3108,Deniece Williams,Let's Hear It For The Boy,1984
3109,Bruce Springsteen,Dancing In The Dark,1984
3110,Cyndi Lauper,Girls Just Want To Have Fun,1984
3111,Duran Duran,The Reflex,1984
3112,Cyndi Lauper,Time After Time,1984
3113,Pointer Sisters,Jump (For My Love),1984
3114,Romantics,Talking In Your Sleep,1984
3115,Laura Branigan,Self Control,1984
3116,Prince and The Revolution,Let's Go Crazy,1984
3117,Daryl Hall and John Oates,Say It Isn't So,1984
3118,Thompson Twins,Hold Me Now,1984
3119,Kool and The Gang,Joanna,1984
3120,Stevie Wonder,I Just Called To Say I Love You,1984
3121,Rockwell,Somebody's Watching Me,1984
3122,Matthew Wilder,Break My Stride,1984
3123,Nena,99 Luftballons,1984
3124,Dan Hartman,I Can Dream About You,1984
3125,Sheila E.,The Glamorous Life,1984
3126,Steve Perry,Oh Sherrie,1984
3127,Lionel Richie,Stuck On You,1984
3128,Elton John,I Guess That's Why They Call It The Blues,1984
3129,Cyndi Lauper,She Bop,1984
3130,Madonna,Borderline,1984
3131,Corey Hart,Sunglasses At Night,1984
3132,Billy Idol,Eyes Without A Face,1984
3133,Eurythmics,Here Comes The Rain Again,1984
3134,Billy Joel,Uptown Girl,1984
3135,Night Ranger,Sister Christian,1984
3136,Cars,Drive,1984
3137,Olivia Newton-John,Twist Of Fate,1984
3138,Duran Duran,Union Of The Snake,1984
3139,Huey Lewis and The News,The Heart Of Rock 'N' Roll,1984
3140,Chicago,Hard Habit To Break,1984
3141,Scandal,The Warrior,1984
3142,Peabo Bryson,If Ever You're In My Arms Again,1984
3143,Pointer Sisters,Automatic,1984
3144,Shannon,Let The Music Play,1984
3145,Julio Iglesias and Willie Nelson,To All The Girls I've Loved Before,1984
3146,Billy Ocean,Caribbean Queen,1984
3147,Genesis,That's All,1984
3148,Lionel Richie,Running With The Night,1984
3149,Elton John,Sad Songs (Say So Much),1984
3150,Huey Lewis and The News,I Want A New Drug,1984
3151,Kenny Rogers and Dolly Parton,Islands In The Stream,1984
3152,Pat Benatar,Love Is A Battlefield,1984
3153,Rod Stewart,Infatuation,1984
3154,Mike Reno and Ann Wilson,Almost Paradise,1984
3155,ZZ Top,Legs,1984
3156,Jacksons,State Of Shock,1984
3157,Rick Springfield,Love Somebody,1984
3158,Culture Club,Miss Me Blind,1984
3159,Huey Lewis and The News,If This Is It,1984
3160,Cars,You Might Think,1984
3161,Madonna,Lucky Star,1984
3162,Bruce Springsteen,Cover Me,1984
3163,Quiet Riot,Cum On Feel The Noize,1984
3164,Irene Cara,Breakdance,1984
3165,Daryl Hall and John Oates,Adult Education,1984
3166,Tracy Ullman,They Don't Know,1984
3167,Billy Joel,An Innocent Man,1984
3168,Bananarama,Cruel Summer,1984
3169,Wang Chung,Dance Hall Days,1984
3170,K.C.,Give It Up,1984
3171,Pointer Sisters,I'm So Excited,1984
3172,Ray Parker Jr.,I Still Can't Get Over Loving You,1984
3173,Michael Jackson,Thriller,1984
3174,Madonna,Holiday,1984
3175,Ollie And Jerry,Breakin'... There's No Stopping Us,1984
3176,John Lennon,Nobody Told Me,1984
3177,Culture Club,Church Of The Poison Mind,1984
3178,Christopher Cross,Think Of Laura,1984
3179,Debarge,Time Will Reveal,1984
3180,Police,Wrapped Around Your Finger,1984
3181,John Cougar Mellencamp,Pink Houses,1984
3182,Ratt,Round And Round,1984
3183,Go-Go's,Head Over Heels,1984
3184,Billy Joel,The Longest Time,1984
3185,Kool and The Gang,Tonight,1984
3186,Christine McVie,Got A Hold On Me,1984
3187,Shalamar,Dancing In The Sheets,1984
3188,Rolling Stones,Undercover Of The Night,1984
3189,John Cafferty and The Beaver Brown Band,On The Dark Side,1984
3190,Duran Duran,New Moon On Monday,1984
3191,Peter Schilling,Major Tom (Coming Home),1984
3192,Cars,Magic,1984
3193,Night Ranger,When You Close Your Eyes,1984
3194,Billy Squier,Rock Me Tonite,1984
3195,James Ingram and Michael McDonald,Yah Mo B There,1984
3196,Wham!,Careless Whisper,1985
3197,Madonna,Like A Virgin,1985
3198,Wham!,Wake Me Up Before You Go-Go,1985
3199,Foreigner,I Want To Know What Love Is,1985
3200,Chaka Khan,I Feel For You,1985
3201,Daryl Hall and John Oates,Out Of Touch,1985
3202,Tears For Fears,Everybody Wants To Rule The World,1985
3203,Dire Straits,Money For Nothing,1985
3204,Madonna,Crazy For You,1985
3205,a-ha,Take On Me,1985
3206,Paul Young,Everytime You Go Away,1985
3207,Philip Bailey and Phil Collins,Easy Lover,1985
3208,REO Speedwagon,Can't Fight This Feeling,1985
3209,Starship,We Built This City,1985
3210,Huey Lewis and The News,The Power Of Love,1985
3211,Simple Minds,Don't You (Forget About Me),1985
3212,Kool and The Gang,Cherish,1985
3213,John Parr,St. Elmo's Fire (Man In Motion),1985
3214,Glenn Frey,The Heat Is On,1985
3215,U.S.A. For Africa,We Are The World,1985
3216,Tears For Fears,Shout,1985
3217,Stevie Wonder,Part-Time Lover,1985
3218,Whitney Houston,Saving All My Love For You,1985
3219,Bryan Adams,Heaven,1985
3220,Wham!,Everything She Wants,1985
3221,New Edition,Cool It Now,1985
3222,Jan Hammer,Miami Vice Theme,1985
3223,Billy Ocean,Loverboy,1985
3224,Teena Marie,Lover Girl,1985
3225,Glenn Frey,You Belong To The City,1985
3226,Ready For The World,Oh Sheila,1985
3227,Debarge,Rhythm Of The Night,1985
3228,Phil Collins,One More Night,1985
3229,Honeydrippers,Sea Of Love,1985
3230,Duran Duran,A View To A Kill,1985
3231,Duran Duran,The Wild Boys,1985
3232,Chicago,You're The Inspiration,1985
3233,Pointer Sisters,Neutron Dance,1985
3234,Pat Benatar,We Belong,1985
3235,Commodores,Nightshift,1985
3236,Howard Jones,Things Can Only Get Better,1985
3237,Jack Wagner,All I Need,1985
3238,Aretha Franklin,Freeway Of Love,1985
3239,Corey Hart,Never Surrender,1985
3240,Phil Collins,Sussudio,1985
3241,Sheena Easton,Strut,1985
3242,Whitney Houston,You Give Good Love,1985
3243,Survivor,The Search Is Over,1985
3244,Diana Ross,Missing You,1985
3245,Phil Collins and Marilyn Martin,Separate Lives,1985
3246,Prince and The Revolution,Raspberry Beret,1985
3247,Billy Ocean,Suddenly,1985
3248,Don Henley,The Boys Of Summer,1985
3249,Murray Head,One Night In Bangkok,1985
3250,Sting,If You Love Somebody Set Them Free,1985
3251,Animotion,Obsession,1985
3252,Tina Turner,We Don't Need Another Hero,1985
3253,Madonna,Material Girl,1985
3254,Tina Turner,Better Be Good To Me,1985
3255,Tears For Fears,Head Over Heels,1985
3256,Harold Faltermeyer,Axel F,1985
3257,Sade,Smooth Operator,1985
3258,Mary Jane Girls,In My House,1985
3259,Phil Collins,Don't Lose My Number,1985
3260,Cyndi Lauper,All Through The Night,1985
3261,Bryan Adams,Run To You,1985
3262,Bruce Springsteen,Glory Days,1985
3263,'Til Tuesday,Voices Carry,1985
3264,Kool and The Gang,Misled,1985
3265,Eurythmics,Would I Lie To You?,1985
3266,ABC,Be Near Me,1985
3267,Paul McCartney,No More Lonely Nights,1985
3268,Survivor,I Can't Hold Back,1985
3269,Bryan Adams,Summer Of '69,1985
3270,Katrina and The Waves,Walking On Sunshine,1985
3271,Wham!,Freedom,1985
3272,Julian Lennon,Too Late For Goodbyes,1985
3273,Julian Lennon,Valotte,1985
3274,Power Station,Some Like It Hot,1985
3275,Ashford and Simpson,Solid,1985
3276,Madonna,Angel,1985
3277,Bruce Springsteen,I'm On Fire,1985
3278,Daryl Hall and John Oates,Method Of Modern Love,1985
3279,Thompson Twins,Lay Your Hands On Me,1985
3280,Debarge,Who's Holding Donna Now,1985
3281,John Cougar Mellencamp,Lonely Ol' Night,1985
3282,Heart,What About Love,1985
3283,David Lee Roth,California Girls,1985
3284,Kool and The Gang,Fresh,1985
3285,Jermaine Jackson,Do What You Do,1985
3286,Time,Jungle Love,1985
3287,Bruce Springsteen,Born In The USA,1985
